transliteration,yiddish
ob,אָב
ov,אָבֿ
ovinu,אָבֿינו
oblast,אָבלאַסט
agent,אַגענט
oger,אָגער
agres,אַגרעס
adaptirer,אַדאַפּטירער
advokat,אַדוואָקאַט
adverb,אַדווערב
adyektiv,אַדיעקטיוו
adl,אַדל
odler,אָדלער
oder,אָדער
oderl,אָדערל
oder,אָדר
adres,אַדרעס
avtograf,אַווטאָגראַף
avtor,אַווטאָר
ovnt,אָוונט
ovntshtern,אָוונטשטערן
azot,אַזאָט
azbuke,אַזבוקע
ozere,אָזערע
ozhene,אָזשענע
akhren,אַחרון
akhrayes,אַחריות
atom,אַטאָם
atak,אַטאַק
atake,אַטאַקע
atmosfer,אַטמאָספֿער
atmosfere,אַטמאָספֿערע
ateizm,אַטעיִזם
ateist,אַטעיִסט
otem,אָטעם
akhtl,אַכטל
akhtsikstl,אַכציקסטל
akhtsntl,אַכצנטל
algebre,אַלגעברע
aluminyum,אַלומיניום
altdaytsh,אַלטדײַטש
althoykhdaytsh,אַלטהויכדײַטש
alter,אַלטער
aligator,אַליגאַטאָר
oliv,אָליוו
almer,אַלמער
alee,אַלעע
alergye,אַלערגיע
alef,אַלף
alef-beys,אַלף־בית
alfabet,אַלפֿאַבעט
alkohol,אַלקאָהאָל
alkoholizm,אַלקאָהאָליזם
am,אַם
ambasade,אַמבאַסאַדע
amoyre,אַמורא
omlet,אָמלעט
amnezye,אַמנעזיע
amerikaner,אַמעריקאַנער
ananas,אַנאַנאַס
anarkhizm,אַנאַרכיזם
anarkhist,אַנאַרכיסט
ondenk,אָנדענק
onheyb,אָנהייב
onheyber,אָנהייבער
anulirung,אַנולירונג
antologye,אַנטאָלאָגיע
ontologye,אָנטאָלאָגיע
onton,אָנטאָן
onteyl,אָנטייל
onteylung,אָנטיילונג
antisemit,אַנטיסעמיט
antisemitizm,אַנטיסעמיטיזם
antipatye,אַנטיפּאַטיע
antik,אַנטיק
antloyf,אַנטלויף
antloyfer,אַנטלויפֿער
antropologye,אַנטראָפּאָלאָגיע
antshuldikung,אַנטשולדיקונג
ansambl,אַנסאַמבל
anekdot,אַנעקדאָט
onfanger,אָנפֿאַנגער
ontsinder,אָנצינדער
onkl,אָנקל
ankete,אַנקעטע
astronoyt,אַסטראָנויט
astronmye,אַסטראָנמיע
osyen,אָסיען
aspirin,אַספּירין
aerodrom,אַעראָדראָם
aeroport,אַעראָפּאָרט
aeroplan,אַעראָפּלאַן
aforizm,אַפֿאָריזם
apatye,אַפּאַטיע
apostol,אַפּאָסטאָל
aparatshik,אַפּאַראַטשיק
apteyk,אַפּטייק
apteyker,אַפּטייקער
apikoyres,אַפּיקורס
opl,אָפּל
apetit,אַפּעטיט
operatsye,אָפּעראַציע
opere,אָפּערע
operete,אָפּערעטע
april,אַפּריל
aprikos,אַפּריקאָס
afikoymen,אַפֿיקומן
afrikaner,אַפֿריקאַנער
afrikanerin,אַפֿריקאַנערין
akordeon,אַקאָרדעאָן
okupatsye,אָקופּאַציע
oktober,אָקטאָבער
oktopus,אָקטאָפּוס
aktor,אַקטאָר
aktyor,אַקטיאָר
aktivitet,אַקטיוויטעט
aktivist,אַקטיוויסט
aktrise,אַקטריסע
aks,אַקס
oks,אָקס
aksl,אַקסל
okean,אָקעאַן
aker,אַקער
aker-ayzn,אַקער־אײַזן
arabish,אַראַביש
araber,אַראַבער
aromat,אַראָמאַט
aramish,אַראַמיש
arbet,אַרבעט
arbeter,אַרבעטער
arbes,אַרבעס
arbeszup,אַרבעסזופּ
argon,אַרגאָן
organ,אָרגאַן
organizatsye,אָרגאַניזאַציע
aroysreyd,אַרויסרייד
aroysred,אַרויסרעד
arumnem,אַרומנעם
orn,אָרון
orn-koydesh,אָרון־קודש
ort,אָרט
ortografye,אָרטאָגראַפֿיע
ortodoks,אָרטאָדאָקס
ortodoksiye,אָרטאָדאָקסיע
artist,אַרטיסט
artistke,אַרטיסטקע
artikl,אַרטיקל
artishok,אַרטישאָק
arterye,אַרטעריע
original,אָריגינאַל
arkhiv,אַרכיוו
arkhitekt,אַרכיטעקט
arkhitektor,אַרכיטעקטאָר
arkheologye,אַרכעאָלאָגיע
armey,אַרמיי
armenish,אַרמעניש
armener,אַרמענער
orevnik,אָרעווניק
orem,אָרעם
oreman,אָרעמאַן
arts,אַרץ
araynfir,אַרײַנפֿיר
ash,אַש
ashboym,אַשבוים
ashkenazi,אַשכּנזי
eyver,אבֿר
adoyn,אדון
adoyni,אדוני
ugerke,אוגערקע
oyg,אויג
oyganes,אויגאַנעס
oygust,אויגוסט
oygn-ledl,אויגן־לעדל
oygn-lepl,אויגן־לעפּל
oygnblik,אויגנבליק
oygnledl,אויגנלעדל
oygnlepl,אויגנלעפּל
oygenes,אויגענעס
oygepl,אויגעפּל
oyvn,אויוון
oyto,אויטאָ
oytobiografye,אויטאָביאָגראַפֿיע
oytomobil,אויטאָמאָביל
oytomat,אויטאָמאַט
oytonomye,אויטאָנאָמיע
oytor,אויטאָר
oysherer,אויסהערער
oyster,אויסטער
oysleyg,אויסלייג
oysshtelung,אויסשטעלונג
oyer,אויער
oyfruf,אויפֿרוף
oyfshtand,אויפֿשטאַנד
umbreng-lager,אומברענג־לאַגער
ungarish,אונגאַריש
unger,אונגער
ungerish,אונגעריש
untergang,אונטערגאַנג
untergrunt,אונטערגרונט
untermentsh,אונטערמענטש
unternemung,אונטערנעמונג
untershid,אונטערשיד
untersheyd,אונטערשייד
univers,אוניווערס
universitet,אוניווערסיטעט
oyfn,אופֿן
oytser,אוצר
ukrainish,אוקראַיִניש
ukrainer,אוקראַיִנער
ur-eynikl,אור־אייניקל
ur-bobe,אור־באָבע
uranus,אוראַנוס
uranyum,אוראַניום
ureltern,אורעלטערן
os,אות
ekhod,אחד
akhren,אחרון
akhrayes,אחריות
iberzetsung,איבערזעצונג
iberzetser,איבערזעצער
ibermentsh,איבערמענטש
idyot,אידיאָט
idilye,אידיליע
ideologye,אידעאָלאָגיע
identitet,אידענטיטעט
italyener,איטאַליענער
ey,איי
eygntum,אייגנטום
eyzl,אייזל
eykhnboym,אייכנבוים
eyl,אייל
eynikl,אייניקל
eyntsol,איינצאָל
eyele,אייעלע
iyer,אייר
eyropeish,אייראָפּעיִש
eyropeer,אייראָפּעער
eyropeerin,אייראָפּעערין
imam,אימאַם
imigrant,אימיגראַנט
imigratsye,אימיגראַציע
ingber,אינגבער
ind,אינד
indzl,אינדזל
indik,אינדיק
inhalt,אינהאַלט
inzl,אינזל
inzhenir,אינזשעניר
inzhenirye,אינזשעניריע
inzhener,אינזשענער
inzhenerye,אינזשענעריע
internet,אינטערנעט
internets,אינטערנעץ
initsyativ,איניציאַטיוו
institut,אינסטיטוט
